Country,Year,Rank,Total discretized,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Belgium,2015,155th,more stable,60.1,2,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5,1.7,1,3.9,9.1,10,3.9
Slovenia,2015,156th,more stable,60.1,2.1,1.6,3.9,4.2,3.9,2.8,2.6,2,2,2.8,1.4,2.3,1.6,0.9,3.2,9.2,9.9,3.7
France,2015,157th,very stable,59.5,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4,2,0.3,1.1,9.7,10,2.6
United Kingdom,2015,158th,very stable,59.1,2.5,3.5,5.6,3.9,3.7,2.1,2,2.1,1.8,2.6,2.4,1.2,1.8,1,1,9,10,2.9
United States,2015,159th,very stable,58.4,2.8,4,5,2.8,4.8,1.5,2.4,2.1,3.7,3,2.1,1.1,1.8,1,0.3,8.3,9.7,1.9
Qatar,2015,160th,very stable,58.2,2.5,5,4.6,2.6,5.2,3.1,6,1.8,6.2,4.3,1.8,3.2,1.9,0.7,1.4,7.9,0,0
Portugal,2015,161st,very stable,57.1,1.6,1.8,2.6,5.1,2.9,2.2,1.8,2.7,2.3,2.6,1.6,2.5,1.2,1.7,1.6,9.4,10,3.5
Luxembourg,2015,162nd,very stable,56.1,2,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1,1.7,1.7,1.6,1.5,0.1,10,9.5,10,2.8
Singapore,2015,163rd,very stable,55.9,1.6,4,3.1,2.5,4,3.3,3.8,1.8,4.6,2.9,1.1,1.7,1.2,0.7,7.8,9.4,0,2.4
Netherlands,2015,164th,very stable,54.9,1.8,2.6,3.9,3.4,2.7,2.6,1,1.5,1,3,2.1,1.2,1.7,0.3,3.4,9,10,3.7
South Korea,2015,165th,very stable,54.4,2.1,3.8,3.4,2,3.5,3.5,3.3,2.4,2.6,2.8,1.5,5.4,2.6,1.4,1.1,2.8,6,4.2
Germany,2015,166th,very stable,54.3,2.1,2,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3,1.3,1.5,0.5,1.6,9,10,3.7
Ireland,2015,167th,very stable,52.4,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9,1.9,0.8,4.5,9,9.9,1.6
Austria,2015,168th,very stable,52.3,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2,1.7,1.5,0.5,2.1,9.2,10,3.1
Iceland,2015,169th,very stable,51.2,1,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6,1.9,0.6,2,9.3,10,4.1
Japan,2015,170th,very stable,49.9,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6,1.5,1,0.4,10,0,1
Australia,2015,171st,very stable,49.6,2.1,1.6,4.4,2.1,2.7,1,1.1,2,2.4,1.8,2.1,1,1.8,0.9,0.6,9.3,10,2.7
Switzerland,2015,172nd,very stable,49,1.4,1,3.6,2,2.7,2.1,1,1.4,1.8,1.9,2.1,1.3,1.5,0.2,2.2,9.5,10,3.2
New Zealand,2015,173rd,very stable,48.3,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1,1.9,1.1,1.1,2,0.8,0.9,8.9,10,3.1
Denmark,2015,174th,very stable,48.1,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4,1.7,0.2,2.1,8.9,10,3.7
Sweden,2015,175th,very stable,47.9,2.1,1.8,1.3,2.3,1.8,1.5,1,1.6,1,2.5,2.3,1,1.9,0.5,1.7,9.3,10,4.4
Norway,2015,176th,very stable,47.1,2.5,1.1,3.7,1.7,2,1.6,0.4,1.4,1.3,2,1.9,1.2,1.8,0.2,1.2,9.2,10,4
Finland,2015,177th,very stable,44.3,1.4,1.1,1.6,3.8,1,2.3,0.5,1.2,0.9,1.5,1.5,1,1.7,0,1.5,9.2,10,4.2
Canada,2015,178th,very stable,41.3,2.2,2.5,3.9,1.8,3,2.2,0.9,2,1.8,2.4,2,1,1.6,0.9,1.3,9.2,0,2.6
