Country,Year,Rank,Total discretized,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Zambia,2014,67th,elevated warning,110.2,4.7,5.7,6,8,8.3,7.7,7.7,7.9,6.8,9.3,7.2,6.9,5.1,8.4,1.9,3.3,4.3,1.1
Djibouti,2014,68th,elevated warning,110,6.9,7.6,6.4,7.2,7.5,5.5,7.9,7.7,6.9,8.1,7.4,8,3,7.3,2.3,3.4,5.5,1.3
Turkmenistan,2014,69th,elevated warning,109.9,6.8,7.8,6.9,5.3,6.7,5.1,9.6,6.4,8.5,6,4.2,4.9,3,9.9,1.1,5.5,9.6,2.6
Thailand,2014,70th,elevated warning,109.7,7.9,9.5,8,3.6,6.1,3.8,7.1,4.9,7.4,7.6,6.5,4.6,1.5,10,3.2,7.7,9.7,0.6
Belarus,2014,71st,elevated warning,109.4,6.1,8.3,7.1,6,5.5,3.7,8.8,5,8.1,5.5,3.6,7.3,1.7,9.7,2.8,7.6,9.9,2.7
Ecuador,2014,72nd,elevated warning,108.8,6.4,8.2,7.5,5.6,7.1,6.5,6.9,6.6,5,5.9,5.7,5.9,2.5,8,1.1,7.7,8,4.2
Guatemala,2014,74th,elevated warning,108.6,6.7,6,7.6,6.1,7.9,6.8,6.5,7.1,6.7,7.2,6,5.7,3.1,6.7,1.4,6.9,8.9,1.3
Lebanon,2014,73rd,elevated warning,108.6,8.6,9.3,8.9,5.6,6,5.7,7.3,5.7,6.8,6,8.6,8.4,1.7,7.7,3.6,8.4,0,0.3
Mozambique,2014,75th,elevated warning,108.5,6.6,6.6,5.4,8.1,8.3,7.4,7.5,8.7,6.4,8.9,4.9,7.1,5.4,7.5,4.6,2.2,3,0
Venezuela,2014,76th,elevated warning,108.4,6.2,7.7,6.8,5.5,6.9,5.5,7.7,7.5,7.8,5.4,5.1,4.6,2.4,7.3,4.1,7.6,8.6,1.7
Tanzania,2014,78th,elevated warning,108.2,5.2,5.7,5.9,6.7,6.7,6.7,6,8.7,6.3,8.6,6.7,7.6,5.1,9.7,1.1,4.1,3.6,3.6
Uzbekistan,2014,77th,elevated warning,108.2,7.6,8.8,7.4,7.1,7.3,6.6,9.3,5.4,9.3,6.4,5.7,5.4,2.5,10,1,6.3,0,2.2
Bosnia and Herzegovina,2014,80th,elevated warning,108.1,6.5,8.7,7.4,5.5,5.9,5.8,6.8,4.4,6.1,4.1,6.8,7.9,1.3,8.4,2.8,7.8,9.8,2.1
Vietnam,2014,79th,elevated warning,108.1,5.1,6.9,6,5.7,5.8,5.5,8,5.5,7.6,6.2,5,5.4,2,9.5,4.5,8.2,8.9,2.4
Lesotho,2014,81st,elevated warning,106.1,4.9,7,4.7,8.2,7,7.1,5.7,8.2,5.1,8,5.2,7.5,3.2,9.2,4.7,1.1,6.5,2.7
Russia,2014,82nd,elevated warning,106,8.6,8.1,8.5,3.6,6.7,4.8,7.6,5,8.7,5.4,5.2,4.3,1.8,9.7,0.6,7.1,9,1.4
Moldova,2014,83rd,elevated warning,105.9,6.9,7.8,6.2,6.6,5.6,6.6,6.6,5.4,5.7,5.6,4.7,7.4,1.3,8.9,4.2,6.8,7.9,1.8
Turkey,2014,85th,elevated warning,105.8,7.4,7.3,9,5.3,6.5,3.7,6,5.2,5.9,5.4,7.1,5.3,2.1,9.6,1,7.6,9.9,1.4
Papua New Guinea,2014,84th,elevated warning,105.8,6.4,7.1,6.6,6.6,9.3,7.3,6.6,9,6.3,7.6,4.9,6.4,3.8,6.7,3.5,4.6,2.9,0.3
Madagascar,2014,86th,elevated warning,105.8,6.8,7.6,4.9,7.9,8.2,5.8,7.3,8.8,5.8,8.2,4.2,7.6,4.3,6.7,2,4.3,3.3,2.1
Serbia,2014,87th,elevated warning,105.5,6.2,8,8,6.4,5.6,5,5.8,4.4,5.2,4.2,6.5,6.7,1.5,9.2,2.7,7.5,9.2,3.4
Azerbaijan,2014,88th,elevated warning,105.4,7,7.9,6.7,4.4,6.2,4.7,8.3,5.3,7.7,5.4,7.6,6.6,2,9.4,0.9,6.6,7.1,1.6
Sao Tome and Principe,2014,89th,elevated warning,105.2,5.8,6.3,4.8,8.1,6.6,8.2,6.6,6.2,4.1,6.9,4.6,7.6,4.6,9.5,1.5,4.8,7.3,1.8
Cuba,2014,90th,elevated warning,105.2,6,7.2,4.8,4.8,5.9,6,6.8,4.9,7,5.9,5,6.5,1.7,10,0.4,8.5,8.9,4.9
Cape Verde,2014,91st,warning,104.8,5.7,5.5,4.2,6.2,7.2,8.6,6,6.8,4.8,6.8,4.4,7.9,2.4,9.5,3.1,6.4,7.2,2.1
Guyana,2014,92nd,warning,104.6,5.5,5.1,6.2,6.7,6.5,8.8,5.6,6.3,4.1,5.9,4.1,6.2,2.6,9.9,3.9,4.9,9.3,3.1
Morocco,2014,93rd,warning,104,6,6.6,6.8,5.6,6.6,7.3,6.6,5.9,6.5,5.7,5.6,5.2,2.6,10,2.2,7.1,6.1,1.7
Mexico,2014,94th,warning,103.9,7.6,5.1,6.1,4.9,6.9,5.6,5.8,6.3,6,6.7,4.3,5.8,2.2,8.5,1.4,7.8,9.2,3.7
Dominican Republic,2014,95th,warning,103.8,4.9,6.5,6.1,5.5,6.6,7.9,5.7,6.5,5.8,6.5,5.6,5.8,2.5,9,1.2,7.1,8.5,2.1
El Salvador,2014,96th,warning,103.7,6.1,4.3,6,6.2,6.9,6.6,5.6,6.4,5.8,7.1,5.6,5.4,2.1,9.4,2,7.3,8.2,2.7
India,2014,97th,warning,103,7.9,6.8,7.8,5.7,7.8,5.2,5.3,7,5.6,7.7,5.1,5,2.4,8.2,0.9,5.1,8.4,1.1
Indonesia,2014,98th,warning,102.6,6.5,7,7.6,5.5,6.6,6,6.5,6,6.2,7.4,5.9,5.6,2.4,7.3,0.8,5.5,8,1.7
Armenia,2014,99th,warning,102.5,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5,1.6,9.2,2.2,7.3,9.7,1.1
Cyprus,2014,101st,warning,102.3,4.7,7.9,7.3,6.4,6.7,4.8,5.6,3.3,3.6,4.3,4.2,9.1,1.4,10,3,8.7,10,1.3
Benin,2014,100th,warning,102.3,5.9,6.1,3.6,6.9,7.2,6.5,6.1,8.7,5.1,8.2,6.3,7.6,5.1,7.3,2.1,2.9,5.9,0.8
Paraguay,2014,102nd,warning,102.3,6.2,7.8,6.2,5.4,8.7,4.9,7.4,6.4,6,5.8,2.7,4.1,2.5,8.5,2,6.7,9.5,1.5
Micronesia,2014,103rd,warning,101.7,5.4,5.6,4.2,7.8,8.3,8.7,6.3,6,3.4,7.2,3.5,8.2,3.2,7.2,2.8,5.3,8.6,0
