Country,Year,Rank,Total,Total Discretised,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,"Fertility rate, total (births per woman)","Immunization, DPT (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Life expectancy at birth, female (years)","People using basic drinking water services, rural (% of rural population)",Proportion of seats held by women in national parliaments (%)
Mali,2013,45th,118.6,Elevated Warning,8.1,5,7.6,8.1,6.8,7.8,6,8.5,6.5,9.3,7.6,8,6.3,6.9,3.4,5.7,6,1
Eritrea,2013,46th,118.3,Elevated Warning,7.5,8.1,6.1,8.3,6.9,7.3,8.7,8.4,9.1,8.7,7.4,8.6,4.4,9.4,0,6.6,0.6,2.2
Comoros,2013,47th,118.2,Elevated Warning,7.5,7.5,5.3,8.2,6.4,7.2,7.4,7.9,6.6,7.4,4.5,8.1,4.6,8.7,6,6.5,8.1,0.3
Senegal,2013,48th,117.6,Elevated Warning,6.2,6.6,6.3,7.2,6.8,6.8,5.9,7.8,6.2,8.3,7,6.3,5,9.2,4.9,6.8,6,4.3
Israel and West Bank,2013,49th,117.3,Elevated Warning,7.1,8.1,9.8,3.7,7.5,3.2,6.7,5.9,7.6,6.2,7.4,7.7,3,9.6,3.1,8.4,10,2.3
Bhutan,2013,50th,117.1,Elevated Warning,5.6,7.5,7.3,6.3,7.5,6.8,6,6.9,7.3,6.4,6.9,7.3,2.2,9.7,6.2,6.9,9.7,0.6
Mozambique,2013,51st,116.9,Elevated Warning,6.5,5.6,4.9,8,8,7.2,7,8.5,6.4,9.2,4.6,6.8,5.4,7.8,8.4,5.8,2.9,3.9
Angola,2013,52nd,116.7,Elevated Warning,6.1,7.3,6.8,5.1,9.4,5.9,8.6,8.4,7.3,8.9,7.2,6.1,5.9,7.7,3.9,6.3,2.4,3.4
Fiji,2013,53rd,116.4,Elevated Warning,7,7.9,7.3,7.3,7.4,7,8.8,4.9,7.3,5.2,3.8,6.9,2.6,9.9,6.9,7.3,8.9,0
Laos,2013,54th,116.3,Elevated Warning,6.6,8.3,6.1,5.7,6.1,6.8,8.6,7.3,8.3,7.5,5.8,6.6,2.9,8.7,4.9,6.7,6.9,2.5
Philippines,2013,55th,116.2,Elevated Warning,8.7,8,7.9,5.6,6.5,6.2,7.6,6.4,6.7,7.1,6.5,5.5,3,8.9,3.2,7.2,8.5,2.7
Swaziland,2013,56th,116.1,Elevated Warning,6,7,3.6,8.9,7.5,6.3,8.7,7.8,8.3,9,4.9,7.5,3.3,9.8,5.3,5.8,5.8,0.6
Nicaragua,2013,57th,115.8,Elevated Warning,5.6,6.8,5.9,6.8,7.9,7.8,7.5,6.8,5.4,6.6,4.8,7.3,2.3,9.8,6.6,7.8,6.1,4
