Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Greece,2012,147th,30.3,Stable,4,2.5,4.8,5.9,4.6,4.7,5.4,4.2,3.3,3.8,2.3,4.8,1.3,-10,-1.9,-8.5,2.8,-3.7
Hungary,2012,149th,30,Stable,2.6,4.7,3.8,5.9,5.2,4.2,5.8,3.4,3.2,2.8,2.8,4,1.3,-10,-4.6,-7.3,3.8,-1.6
Lithuania,2012,145th,28.9,Stable,2.8,2.8,4,5,5.4,4.4,3.5,3.1,2.9,3.8,2.9,3.5,1.6,-9.2,-4.6,-7.5,8.9,-4.4
Uruguay,2012,159th,28.8,Stable,4,2.7,2.7,3.8,4.6,5,2.2,3.4,2.6,4.1,1.8,3.7,2,-9.5,-1.7,-7.7,7.2,-2.1
Poland,2012,148th,28.6,Stable,2.8,3.6,3.8,4,4.4,5.3,3.7,3.1,3.2,3.8,3,3.6,1.3,-10,-2.6,-7.9,7.7,-4.2
Italy,2012,150th,28.4,Stable,4.9,4.8,5,4.6,3.8,2.9,5,2.7,3.2,3.3,3.6,2,1.4,-9.7,-1.6,-8.9,5.2,-3.8
Japan,2012,160th,27.5,Stable,2,2.6,3.8,4,2,2.1,2.5,5,3.2,8.3,4,4,1.4,-9.7,-0.9,-9.3,3.9,-1.4
Spain,2012,144th,27.3,Stable,4.4,5.6,5.7,5,4.4,2.3,2.6,2.9,2.5,3.1,2.6,1.7,1.3,-9.7,-1.7,-9,10,-6.4
United States,2012,164th,24.9,Stable,1.9,3.6,3.9,3.4,5.1,1.3,2.6,2.7,3.5,3.3,2.6,1,1.9,-9.3,-1,-7.9,9.5,-3.2
Czech Republic,2012,154th,22.8,Stable,2.1,3.8,3.5,4.3,3.5,3.7,3.5,3.6,2.7,2.8,2.5,3.5,1.5,-10,-4.1,-7.9,7.7,-3.9
United Kingdom,2012,161st,22.2,Stable,3,3.6,4.7,3.7,3.9,2.4,1.9,2.6,2.1,2.8,3,1.6,1.9,-9.5,-1.8,-8.4,8.7,-4
South Korea,2012,157th,21.8,Stable,2,3.6,3.4,2.3,2.6,4.2,3.2,2.2,2.8,3,2.5,5.7,1.3,-10,-2.6,-10,8.5,-2.9
France,2012,158th,19.8,More Stable,2.2,1.9,5.6,3.9,4.6,1.8,1.9,1.8,2.7,3,2.5,1.7,2,-10,-1.7,-9,9.7,-4.8
Malta,2012,151st,17.9,More Stable,3.7,2,4,3.8,3.8,4.4,4,2.6,3.2,3.1,5.1,4.1,1.4,-10,-9.3,-8.4,1.9,-1.5
Germany,2012,162nd,17.1,More Stable,2.5,2.1,4.4,2.6,4.1,2.5,1.7,1.8,2,2.5,3.9,1.7,1.4,-9.5,-2.3,-8.4,9.9,-5.8
Australia,2012,169th,16.7,More Stable,2,1.6,3.9,2.6,3.6,1.4,1.3,2.1,2.2,4.4,3,1.1,1.9,-9.1,-1.2,-8.7,9,-4.4
Portugal,2012,165th,16.1,More Stable,1.9,1.4,2.3,5.3,3.7,2.9,2,3.8,3,3.1,1.8,3,1.3,-9.9,-2.2,-8.6,6.4,-5.1
Belgium,2012,156th,13.7,More Stable,2.3,4,4.1,3.6,4.1,1.9,2.4,2.5,1.8,2.6,1.9,2.3,1.8,-10,-4.7,-8.4,8.2,-6.7
Slovenia,2012,163rd,13.5,More Stable,2.8,1.6,3.3,3.5,4.4,3.5,2.7,2.4,2.8,2.8,1.5,2.6,1.6,-9.6,-4,-8.5,5.8,-5.7
New Zealand,2012,170th,12.8,More Stable,1.4,1.1,3.8,3.9,3.7,2.7,0.8,2.1,1.5,2.4,1.4,0.8,2.1,-9.2,-1.6,-8.4,10,-5.7
Ireland,2012,167th,12.7,More Stable,1.7,1.4,1.6,3.8,2.7,3,2.2,2.2,1.3,2.5,1.7,2.4,2,-9.5,-5.1,-8.4,9.9,-2.7
Singapore,2012,152nd,10.8,More Stable,1.8,4,3,3.3,3.7,3.1,3.5,2.2,5,2.6,0.9,2.5,1.3,-9.7,-10,-8.7,6.6,-4.3
Canada,2012,177th,10.6,More Stable,1.8,2.5,3,2.1,3.8,2.4,1,2.2,1.9,2.7,2.2,1.1,1.6,-9.5,-1.8,-8.6,6.6,-4.4
Netherlands,2012,166th,9.2,More Stable,1.7,2.4,4.1,3.3,2.6,2.5,1,1.8,1.3,2.9,2.7,1.8,1.7,-9.7,-4.1,-8.4,8.5,-6.9
Austria,2012,176th,8.7,More Stable,1.4,2.4,4,2,4.1,1.9,1.3,1.8,1.8,2.6,2.3,1.9,1.4,-9.1,-2.9,-8.6,5.4,-5
Denmark,2012,171st,7.5,More Stable,1.8,1,3,2.2,1.8,2.2,0.8,1.7,1.5,2.8,1.9,2.3,1.7,-9.3,-2.8,-8.2,10,-6.9
Norway,2012,173rd,7.3,More Stable,3,1.2,3.6,2.4,1.8,1.5,0.8,1.7,2.2,2.3,1.8,1.6,1.9,-9.5,-1.6,-8.5,8.1,-7
Iceland,2012,175th,5.1,More Stable,1.3,1.8,1,5.7,1.9,3.1,1.7,1.9,1.6,1.9,1.3,5.7,2,-8.7,-2.9,-8.7,1.6,-7.1
Sweden,2012,172nd,3.9,Sustainable,2.5,1.8,1,1.6,1.9,1.8,0.8,1.8,1.6,2.6,2.6,1.3,1.9,-9.9,-2.4,-8.6,9.5,-7.9
Finland,2012,174th,3.4,More Stable,1.3,1.2,1.4,2.9,1.3,2.6,0.8,1.8,1.4,2.2,1.9,1.2,1.8,-10,-2.3,-8.6,10,-7.5
Switzerland,2012,178th,2.7,More Stable,1.7,1,3.2,2.2,2.6,2.2,0.9,1.7,2,2.4,1.8,1.7,1.5,-9.6,-3.3,-8.9,4.8,-5.2
Luxembourg,2012,168th,0.8,More Stable,2.3,3.4,2.8,1.8,1.8,1.8,2.2,1.6,1.3,2,2.1,2.3,1.6,-10,-8.9,-8.6,5.2,-3.9
