Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Chile,2014,145th ,32.9,Stable,2.8,1.7,3.8,3.9,5.4,2.9,3.3,4.2,3.7,4.6,2.6,3.1,1.8,-9.5,-1.3,-8.5,10,-1.6
Estonia,2014,146th ,32.7,Stable,2.8,5.5,6.2,3.8,4,3.8,3.5,3.3,2.5,3.6,3.2,3,1.5,-9.2,-4.2,-8.6,9.9,-1.9
Barbados,2014,147th ,32.3,Stable,4.2,4.2,4.4,5.8,5.4,5.9,3.3,3,2.8,4.1,3,5.3,1.8,-9.4,-2.3,-7.5,0,-1.7
Slovak Republic,2014,148th ,31.8,Stable,2.6,3.7,5.6,5.4,4.3,4.5,4,3.2,3,3.1,2.3,3.6,1.4,-9.7,-4.8,-8.2,9.7,-1.9
Italy,2014,149th ,31.6,Stable,4.7,4.9,4.6,5.1,3.3,2.3,4.2,2.6,2.8,3.6,3.4,1.9,1.4,-9.5,-0.9,-9.7,10,-3.1
South Korea,2014,150th ,30.9,Stable,2.4,3.6,3.1,2.3,3.2,3.6,2.8,2.1,2.9,2.9,1.8,5.7,2.6,-5.7,-1.2,-2.9,6,-4.3
Lithuania,2014,151st ,30.2,Stable,2.7,3,4,4.8,5.3,4,3.5,3.7,2.7,3.6,2.9,3,1.6,-9.2,-4.2,-8.1,9.3,-2.4
Poland,2014,152nd ,30,Stable,2.6,3.8,4.1,4,3.8,4.7,3.5,3.1,2.8,3.6,3.1,3,1.3,-9.9,-2.2,-8.5,9.6,-2.4
Spain,2014,153rd ,29.7,Stable,3.6,6.1,6.1,5.3,3.8,2.7,3.4,3,2.2,3,2,1.9,1.3,-9.7,-1.2,-9.8,10,-4
Uruguay,2014,154th ,28.9,Stable,3.4,2.7,2.7,3.5,4.5,4.4,1.6,3.7,2.2,3.8,2.2,3.2,2,-9.5,-0.9,-8.2,9.2,-1.6
United States,2014,155th ,26.9,Stable,2.7,4,4.5,3.1,4.5,1.2,2.4,2.5,3.5,3.3,2.4,1.3,1.9,-9.5,-0.3,-8.4,9.7,-1.9
Czech Republic,2014,156th ,26.6,Stable,2.3,4.3,3.8,4.8,3.5,3.1,4.2,3.4,2.4,2.4,2.3,2.9,1.5,-9.7,-4,-8.6,10,-2
Malta,2014,157th ,25.9,Stable,3.7,2,4,3.9,3.2,4.3,3.8,2.6,3.6,3.1,4.9,3.9,1.4,-10,-7.8,-9.3,10,-1.4
United Kingdom,2014,158th ,24.1,Stable,2.8,3.5,5.3,4,3.4,2.1,1.7,2.4,2.1,2.8,2.7,1.5,1.8,-9.5,-1.2,-9,10,-2.3
France,2014,159th ,23.3,Stable,2.6,1.9,6.4,4.5,4,2.2,2.1,1.8,2.2,3,2.5,1.6,2,-9.9,-1.2,-9.8,10,-2.6
Portugal,2014,160th ,20.2,Stable,1.9,1.8,2.3,5.2,3.2,2.5,2.3,3.3,2.6,3.1,1.9,3,1.2,-9.9,-1.8,-9.3,10,-3.1
Slovenia,2014,161st ,18.2,More Stable,2.4,1.6,3.6,3.9,4.2,2.9,2.9,2.3,2.3,2.4,1.6,2.5,1.6,-9.5,-3.6,-9.2,9.9,-3.6
Germany,2014,162nd ,18.1,More Stable,2.4,2,4.3,2.9,3.6,2.4,1.5,1.9,1.8,2.9,3.3,1.6,1.5,-9.5,-1.7,-9.1,10,-3.7
Japan,2014,163rd ,16.8,More Stable,1.9,2.6,4.1,3.6,2.1,2.3,2,2.4,3.3,4.7,3.4,3.9,1.4,-9.6,-0.5,-10,0,-0.8
Australia,2014,164th ,16.5,More Stable,2,1.6,3.9,2.4,3,0.9,1,2.1,2.3,3.4,2.4,1.3,1.8,-9.1,-0.6,-9.3,10,-2.6
Belgium,2014,165th ,16.2,More Stable,2.3,3.9,4.2,4,3.5,1.9,2,2.4,1.5,2.8,1.6,1.9,1.7,-10,-4.4,-9.2,10,-3.9
Austria,2014,166th ,15.3,More Stable,1.4,2.7,4.6,2.2,3.7,1.8,1.6,1.8,2,2.7,2.3,1.7,1.5,-9.9,-2.4,-9.2,10,-3.2
Netherlands,2014,167th ,13.9,More Stable,2.1,2.6,4.1,3.7,2.4,2.4,1,1.8,1.2,3.3,2.4,1.6,1.7,-9.6,-3.8,-9.1,10,-3.9
New Zealand,2014,168th ,13.8,More Stable,1.4,1.1,3.8,3.9,3.1,2.2,0.5,2.1,1.1,2.4,1.2,1.3,1.9,-9.2,-1,-9,10,-3
Iceland,2014,169th ,13.4,More Stable,1.3,1.8,1,3.9,1.9,3.1,1.2,1.9,1.4,1.9,1.6,4.9,1.9,-8.9,-2.2,-9.3,10,-4
Ireland,2014,170th ,12.3,More Stable,2.1,1.3,1.6,4.2,2.7,3.1,1.8,2.2,1.2,2.5,1.4,2,1.9,-9.6,-5.3,-9.1,9.9,-1.6
Norway,2014,171st ,11.1,More Stable,2.8,1.1,3.7,2,1.7,1.9,0.5,1.7,1.6,2.3,2.2,1.5,1.8,-9.2,-1.2,-9.3,10,-4
Denmark,2014,172nd ,10,More Stable,1.8,1.4,3.4,2.2,1.8,2,0.8,1.7,1.6,2.8,1.4,1.9,1.7,-9.4,-2.3,-8.9,10,-3.9
Switzerland,2014,173rd ,9.9,More Stable,1.7,1,3.5,2.2,2.4,2.4,0.9,1.7,1.7,2.4,1.8,1.6,1.5,-9.6,-2.6,-9.6,10,-3.1
Sweden,2014,174th ,7.8,More Stable,2.4,1.8,1,2,1.8,1.8,0.8,1.8,1.3,2.8,2.6,1.3,1.9,-9.9,-1.8,-9.3,10,-4.5
Canada,2014,175th ,7,More Stable,2.1,2.5,3.4,2.1,3.2,2.2,1.2,2.3,2.1,2.7,2.3,1.3,1.6,-9,-1.3,-9.2,0,-2.5
Singapore,2014,176th ,5.9,More Stable,2,4,2.8,2.8,4,3.6,3.5,2.1,4.9,2.8,1.4,2,1.3,-9.6,-9.8,-9.4,0,-2.5
Finland,2014,177th ,5.3,More Stable,1.3,1.1,1.3,3.5,1.3,2.2,0.8,1.4,1.2,1.8,1.5,1.3,1.7,-9.9,-1.7,-9.2,10,-4.3
Luxembourg,2014,178th ,3.8,Sustainable,2.3,3.4,2.8,1.8,1.8,2.4,1.6,1.6,1.3,2,1.7,1.9,1.5,-10,-10,-9.5,10,-2.8
