Country,Year,Rank,Total,Total discretized,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services ,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Fertility rate,"Immunization, DPT",Imports,Life expectancy,basic drinking water services,seats held by women in assembly
Georgia,2013,43rd,76.9,Elevated Warning,7.9,9.4,8,6.4,6.3,5.2,8.6,5.4,6.4,5.2,7.5,7.9,2,-9.3,-5.8,-7.7,8.6,-1.2
Philippines,2013,55th,76.8,Elevated Warning,8.7,8,7.9,5.6,6.5,6.2,7.6,6.4,6.7,7.1,6.5,5.5,3,-8.9,-3.2,-7.2,8.5,-2.7
Colombia,2013,65th,76.6,Elevated Warning,6.8,7.7,7.5,3.8,8.1,7.3,7.3,6.1,7.3,6.5,8.3,7.1,1.9,-9.1,-2,-7.7,8.4,-1.2
Guatemala,2013,69th,75.4,Elevated Warning,7,6,7.3,6.1,8.1,7.1,6.9,6.9,6.6,7.3,6,5.4,3.2,-8.5,-3.5,-7.6,8.8,-1.3
Benin,2013,91st,75.3,Elevated Warning,5.8,6.1,3.6,7.1,7.2,6.2,6,8.6,5.1,8.3,6.5,7.3,5.2,-7.7,-4.1,-6.2,5.8,-0.8
Bolivia,2013,66th,74.4,Elevated Warning,6.7,8,7.1,6.2,8.9,6.4,7.2,6.8,6.3,6.9,4,6.3,3,-9.4,-3.7,-7,7.5,-2.5
Israel and West Bank,2013,49th,74.3,Elevated Warning,7.1,8.1,9.8,3.7,7.5,3.2,6.7,5.9,7.6,6.2,7.4,7.7,3,-9.6,-3.1,-8.4,10,-2.3
Bhutan,2013,50th,74.3,Elevated Warning,5.6,7.5,7.3,6.3,7.5,6.8,6,6.9,7.3,6.4,6.9,7.3,2.2,-9.7,-6.2,-6.9,9.7,-0.6
Fiji,2013,53rd,73.5,Elevated Warning,7,7.9,7.3,7.3,7.4,7,8.8,4.9,7.3,5.2,3.8,6.9,2.6,-9.9,-6.9,-7.3,8.9,0
Lesotho,2013,59th,73.3,Elevated Warning,5.2,7,4.7,8.5,6.7,6.8,6,8.2,5.4,8.8,4.9,7.2,3.2,-9.3,-8.9,-5.5,6.5,-2.7
China,2013,67th,72.6,Elevated Warning,6.5,7.2,8.3,3.6,8,5,8.1,6.8,9.4,8.1,6.1,3.8,1.6,-9.9,-2.2,-7.7,9.2,-2.3
Ecuador,2013,71st,72.5,Elevated Warning,6.7,8.2,7.2,5.6,7.4,6.8,7.2,6.9,4.9,5.8,5.7,6.2,2.6,-8.7,-3.1,-7.8,7.9,-3.9
Indonesia,2013,84th,72.1,Elevated Warning,6.8,7,7.3,5.5,6.9,6.3,6.4,6.1,6.5,7.5,6,5.9,2.4,-8.5,-2.5,-7.1,7.9,-1.9
