Country,Year,Rank,Total discretized,Total,security apparatus discretized,C1  Security Apparatus,factionalized elites discretized,C2 Factionalized Elites,group grievance discretized,C3 Group Grievance,economy discretized,E1 Economy,economic inequality discretized,E2 Economic Inequality,human flight and brain drain discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,External Intervention discretized,X1 External Intervention,"Fertility rate, total (births per woman) discretized","Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT",Imports of goods and services discretized,Imports of goods and services ,"Life expectancy at birth, female (years) discretized","Life expectancy at birth, female (years)","People using basic drinking water services, rural  discretized","People using basic drinking water services, rural",Proportion of seats held by women in national parliaments discretized,Proportion of seats held by women in national parliaments 
Eritrea,2015,28th,elevated warning,118.6,low,7.7,very low,8.1,low,6.1,very high,8.3,low,7.2,low,7.6,very low,9.1,very high,8.7,very high,9.3,very low,8.8,low,7.8,very low,8.2,neutral,4.2,very high,8.5,very low,1.9,neutral,4.2,very high,0.6,low,2.2
Rwanda,2015,29th,elevated warning,118.5,low,6.2,very low,8,very low,8.8,high,6.3,very low,8.2,low,7.5,low,6.5,high,7.3,high,7.7,very low,8,low,7.9,low,7.8,neutral,4,high,6.9,very low,1.4,neutral,4.8,neutral,4.9,high,6.4
Nepal,2015,30th,elevated warning,118.3,low,7,very low,8.3,very low,9.1,high,6.8,low,7.5,low,7,low,7.1,high,7.1,high,7.7,low,7.9,low,7.6,low,7.4,high,2.2,high,6.7,very low,1.7,neutral,5.6,very low,8.7,low,3
Myanmar,2015,31st,elevated warning,118.3,very low,8.3,very low,8.3,very low,9.7,high,6.5,very low,8.2,neutral,5.7,very low,9,very high,8.6,very high,8.3,low,6.8,very low,8.3,low,7,high,2.2,very high,8.4,very low,0.9,neutral,4.8,low,6,very low,1.3
Cameroon,2015,32nd,elevated warning,118.1,low,7.6,very low,9.1,very low,8.1,high,6.2,low,7.8,low,7.5,very low,8.4,very high,8.8,very high,8,very low,8,low,7.8,low,7,neutral,4.8,very high,8.6,very low,1.1,very low,1.9,neutral,4.3,low,3.1
Mali,2015,33rd,elevated warning,118.1,very low,8.7,neutral,4.9,low,7.6,very high,8.2,low,7.4,very low,8.4,low,6,very high,9,high,6.7,very low,9.1,low,7.8,very low,9.3,low,6.1,very high,8.9,very low,1.1,very low,1.8,low,6.3,very low,0.9
Congo Republic,2015,34th,elevated warning,117.5,low,6.7,low,6.7,low,6.6,high,6.4,very low,8.2,low,6.8,very low,8.7,very high,9.1,high,7.9,low,7.8,very low,8.3,low,7.6,neutral,4.7,very high,9,neutral,4.7,low,3.9,high,3.7,very low,0.7
Libya,2015,35th,elevated warning,116.4,very low,9.3,very low,9.1,low,7.8,very high,8,low,6.1,low,6.4,very low,9.8,high,7.5,very high,9,neutral,5.4,low,7.4,very low,9.5,high,2.3,high,7.2,low,3.5,high,6.5,very high,0,very low,1.6
Sri Lanka,2015,36th,elevated warning,115.8,low,7.9,very low,9.1,very low,9.3,neutral,5.9,low,7.6,low,7.8,very low,8,neutral,5.6,very high,8.8,low,6,very low,8.2,low,6.4,high,2.1,neutral,5,very low,1,high,7.5,very low,9.1,very low,0.5
Cambodia,2015,37th,elevated warning,115.2,low,6.7,very low,8.2,low,7.4,high,6.4,low,7.1,low,7.5,very low,8.4,high,7.7,very high,8.3,low,7,neutral,5.8,low,7.4,high,2.6,high,7.4,low,3.1,neutral,5.3,low,7,low,2
