Country,Year,Rank,Total,Total discretised,C1: Security Apparatus,C1: Security Apparatus Discretised,C2: Factionalized Elites,C2: Factionalized Elites Discretised,C3: Group Grievance,C3: Group Grievance Discretised,E1: Economy,E1: Economy Discretised,E2: Economic Inequality,E2: Economic Inequality Discretised,E3: Human Flight and Brain Drain,E3: Human Flight and Brain Drain Discretised,P1: State Legitimacy,P1: State Legitimacy Discretised,P2: Public Services ,P2: Public Services Discretised,P3: Human Rights,P3: Human Rights Discretised,S1: Demographic Pressures,S1: Demographic Pressures Discretised,S2: Refugees and IDPs,S2: Refugees and IDPs Discretised,X1: External Intervention,X1: External Intervention Discretised,"Fertility rate, total (births per woman)","Fertility rate, total (births per woman) Discretised","Immunization, DPT (% of children ages 12-23 months)","Immunization, DPT (% of children ages 12-23 months) Discretised",Imports of goods and services (% of GDP),Imports of goods and services (% of GDP) Discretised,"Life expectancy at birth, female (years)","Life expectancy at birth, female (years) Discretised","People using basic drinking water services, rural (% of rural population)","People using basic drinking water services, rural (% of rural population) Discretised",Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) Discretised
Libya,2012,27th,122,High Warning,9,Very High,8,Low,7,Low,5.5,Neutral,7,Low,3.9,High,8.1,Very Low,7.6,High,9,Very High,5.8,Neutral,5.1,Neutral,9,Very Low,2.4,High,9.9,Very High,5.6,Neutral,6.2,High,10,Very low,2.9,Low
Malawi,2012,28th,121.7,High Warning,5.1,Neutral,7.6,Low,5.7,Neutral,8.5,Very High,7.7,Low,7.8,Low,8,Low,7.9,High,7.1,High,8.8,Very Low,6.2,Low,8.4,Very Low,5,Neutral,9.6,Very High,2.4,Low,3.1,Low,8.9,Very Low,4,Low
Mauritania,2012,29th,121.5,High Warning,7.7,High,8.1,Very Low,7.5,Low,7.6,High,6.3,Low,5.4,Neutral,7.6,Low,7.9,High,7.3,High,8,Low,6.5,Low,7.6, Low,4.9,Neutral,7.5,High,4.6,Neutral,3.5,Low,9.6,Very Low,3.9,Low
Congo Republic,2012,30th,121.2,High Warning,7,High,6.7,Low,6.3,Low,7.5,High,7.9,Low,6.5,Low,8.6,Very Low,8.4,Very High,7.2,High,8.3,Very Low,7.7,Low,7.9, Low,4.9,Neutral,8.1,Very High,3.5,Low,3.4,Low,10,Very Low,1.3,Very Low
Syria,2012,31st,121.1,High Warning,8.5,Very High,8.7,Very Low,9.2,Very Low,6.3,High,7.5,Low,6,Neutral,9.5,Very Low,7,High,9.4,Very High,5.5,Neutral,9,Very Low,7.9, Low,3.1,High,2.8,Low,2.2,Low,6.7,High,9.7,Very Low,2.1,Low
Egypt,2012,32nd,120.5,High Warning,7,High,8.8,Very Low,8.8,Very Low,7.1,High,7.4,Low,5.7,Neutral,9.2,Very Low,5.9,Neutral,9,Very High,7.1,Low,6.4,Low,8, Low,3.3,High,9.2,Very High,1.4,Very Low,5.8,Neutral,10,Very Low,0.4,Very Low
Guinea Bissau,2012,33rd,120.4,High Warning,9.4,Very High,9.2,Very Low,5.7,Neutral,9,Very High,7.8,Low,7.7,Low,9.3,Very Low,8.5,Very High,7.5,High,8.7,Very Low,7.5,Low,8.9,Very Low,4.9,Neutral,8.4,Very High,1.4,Very Low,1.8,Very Low,2.1,High,2.5,Low
Uzbekistan,2012,34th,120.3,High Warning,8.2,Very High,8.7,Very Low,7.7,Low,7.1,High,7.9,Low,6,Neutral,8.7,Very Low,5.7,Neutral,9.1,Very High,7,Low,5.7,Neutral,5.7,Neutral,2.2,High,10,Very High,1.8,Very Low,5.9,Neutral,8.9,Very Low,3.9,Low
Liberia,2012,35th,120,High Warning,7,High,8.4,Very Low,6.5,Low,8.6,Very High,7.7,Low,6.7,Low,6.9,Low,8.8,Very High,6.1,High,8.4,Very Low,8.9,Very Low,9.3,Very Low,4.9,Neutral,7.5,High,5.1,Neutral,2.9,Low,4.4,Neutral,2,Very Low
Cameroon,2012,36th,119.8,Elevated warning,7.9,High,9.2,Very Low,7.5,Low,6.5,High,8.1,Very Low,7.5,Low,8.9,Very Low,8.1,Very High,7.8,High,8.2,Very Low,7,Low,6.5, Low,5,Neutral,8.1,Very High,1.5,Very Low,1.8,Very Low,7.7,Low,2.5,Low
