Country,Year,Rank,Total discretized,Security Apparatus discretized,Factionalized Elites discretized,Group grievance discretized,Economy discretized,Economic Inequality discretized,human flight discretized,state legitimacy discretized,public services discretized,human rights discretized,demographic pressures discretized,refugees discretized,external intervention,fertility rate discretized,"Immunization, DPT discretized",Imports of goods and services discretized,life expectancy discretized,basic drinking water discretized,seats held by women discretized
Benin,2014,100th,warning,neutral,low,high,high,low,low,low,very high,neutral,very low,low,low,neutral,high,low,high,neutral,very low
Cyprus,2014,101st,warning,neutral,low,low,high,low,neutral,neutral,low,low,neutral,neutral,very low,very high,very high,low,very low,very low,very low
Paraguay,2014,102nd,warning,high,low,low,neutral,very low,neutral,low,high,high,neutral,high,neutral,high,very high,low,low,very low,very low
Micronesia,2014,103rd,warning,neutral,neutral,neutral,high,very low,very low,low,high,low,low,high,very low,high,high,low,neutral,very low,very low
Peru,2014,104th,warning,high,low,low,neutral,low,low,low,high,neutral,neutral,neutral,neutral,high,very high,very low,low,low,low
Macedonia,2014,105th,warning,neutral,low,low,neutral,neutral,neutral,neutral,neutral,neutral,high,neutral,neutral,very high,very high,low,low,very low,low
Suriname,2014,106th,warning,neutral,neutral,low,high,low,low,neutral,neutral,neutral,neutral,high,low,high,very high,low,low,very low,very low
Equatorial Guinea,2014,107th,warning,high,very low,low,neutral,very low,low,very low,high,very high,very low,high,neutral,neutral,very low,very low,high,high,low
Kazakhstan,2014,108th,warning,high,low,low,neutral,neutral,high,low,neutral,high,neutral,high,neutral,high,very high,very low,low,very low,low
Samoa,2014,109th,warning,neutral,neutral,neutral,high,neutral,very low,low,neutral,neutral,low,high,very low,neutral,neutral,low,low,very low,very low
Malaysia,2014,110th,warning,high,low,low,low,neutral,neutral,low,neutral,high,neutral,neutral,neutral,high,very high,low,low,very low,very low
Belize,2014,111th,warning,neutral,neutral,neutral,neutral,low,low,low,high,neutral,low,neutral,low,high,very high,low,low,very low,very low
Ghana,2014,112th,warning,neutral,neutral,neutral,high,low,low,neutral,high,neutral,low,neutral,low,neutral,very high,low,high,low,very low
