Country,Year,Rank,Total discretized,Total,Security Apparatus discretized,C1 Security Apparatus,Factionalized Elites discretized,Factionalized elites discretized,Group grievance discretized,C3 Group Grievance,Economy discretized,E1 Economy,Economic Inequality discretized,E2 Economic Inequality,human flight discretized,E3 Human Flight and Brain Drain,state legitimacy discretized,P1 State Legitimacy,public services discretized,P2 Public Services,human rights discretized,P3 Human Rights,demographic pressures discretized,S1 Demographic Pressures,refugees discretized,S2 Refugees and IDPs,external intervention,X1 External Intervention,fertility rate discretized,"Fertility rate, total (births per woman)","Immunization, DPT discretized","Immunization, DPT ",Imports of goods and services discretized,Imports of goods and services,life expectancy discretized,"Life expectancy at birth, female (years)",basic drinking water discretized,"People using basic drinking water services, rural ",seats held by women discretized,Proportion of seats held by women in national parliaments 
Israel and West Bank,2014,40th,elevated warning,114.8,high,6.8,very low,8.1,very low,9.7,neutral,4,low,7.2,high,3.5,low,6.6,neutral,5.6,high,7.1,low,6.3,low,7.1,low,7.5,high,3.1,very high,9.5,very low,1.2,very low,9.2,very low,10,low,2.3
Tajikistan,2014,41st,elevated warning,114.7,high,7.1,very low,8.4,low,7,high,7.7,neutral,5.9,low,6.1,very low,9,high,6.2,high,7.9,low,7.5,neutral,5.1,low,6.7,high,3.4,very high,9.7,low,2.1,low,6.3,low,6.8,very low,1.7
Georgia,2014,42nd,elevated warning,113.9,high,7.6,very low,9.5,very low,8,high,6.3,low,6.2,neutral,5.5,very low,8.7,neutral,5.1,high,6.1,neutral,4.9,low,7.2,low,7.6,high,2,very high,9,low,3.1,low,7.3,very low,8.7,very low,1.2
Burkina Faso,2014,44th,elevated warning,113.9,high,6.9,low,7.3,neutral,5.3,high,7.4,very low,8.1,low,6.6,low,7.8,very high,8.8,high,6.5,very low,9,low,7.6,low,7.7,neutral,5.5,very high,9,very low,1.8,high,2.4,neutral,4.3,very low,1.9
Senegal,2014,43rd,elevated warning,113.9,high,6.5,low,6.6,low,6.6,high,7,low,7,low,7.1,low,6,high,7.9,high,6.5,very low,8.1,low,7.3,low,6.2,neutral,4.9,very high,8.7,low,2.2,neutral,4.7,low,6.2,neutral,4.3
Solomon Islands,2014,45th,elevated warning,113.8,high,6.7,very low,8,low,6.8,high,7.5,very low,8.6,low,6,low,7,high,7.9,high,6,very low,8.2,neutral,5.2,very low,8.5,neutral,4,very high,8.6,low,3.2,neutral,5.7,neutral,5.8,very low,0.2
Comoros,2014,46th,elevated warning,113.2,high,7.5,low,7.5,neutral,5.3,very high,8.3,low,6.7,low,7.5,low,7.1,very high,8.2,high,6.9,low,7.3,neutral,4.8,very low,8,neutral,4.5,very high,8.5,low,3,high,3.8,very low,8,very low,0.3
Mali,2014,47th,elevated warning,112.9,very high,8,neutral,4.9,low,7.5,high,7.9,low,7.1,very low,8.1,neutral,5.9,very high,8.6,high,6.8,very low,9,low,7.5,very low,8.5,low,6.2,high,6.7,very low,1.3,very high,1.7,low,6.1,very low,1
Togo,2014,48th,elevated warning,112.8,high,7.1,low,7.6,neutral,4.8,high,7.1,low,7.8,low,7.1,very low,8.4,very high,8.3,high,7.5,low,7.9,low,7.4,low,6.8,neutral,4.6,very high,8.5,low,3.2,high,2.5,neutral,4.4,very low,1.8
Philippines,2014,49th,elevated warning,112.7,very high,8.8,very low,8,very low,8.3,neutral,5.7,low,6.3,neutral,5.9,low,7.3,high,6.9,high,6.4,low,7.8,low,7.7,low,6.2,high,3,neutral,5.9,very low,1.3,neutral,5.9,very low,8.5,low,2.7
